a 	in.ar 	ሓዶ	አንድ
legal proceedings 	n	ኽሲ	ክስ
legend 	n	መገግለፂ	መገግለጫ	
legion 	n	ቡዙሕ ህዝብ	ብዙ ህዝብ	
legislator 	n	ሕጊ መወፅኢ	ህግ አውጭ	
lemon 	n	ለሚን	ሎሚ	
lemonade 	n	ፅሟቕ ለሚን	ሎሚናት	
lengthen 	vt	አንዊሑ	አረዘመ	
length wise 	adv	ብቑመቱ	በቁመቱ	
lens 	n	መስትያት ካሜራ	የካሜራ መስታወት	
lent 	n	ፆመ ርብዓ	የሁዳዴ ፆም	
lentil 	n	ብርሽን፣ ብርሱን	ምስር	
leopard 	n	ነብሪ	ነብር	
leper 	n	ደድውይ	ቆማጣ	
leprosy 	n	ድውየት	ቁምጥና	
lesion 	n	ቁስሊ	ቁስል	
less 	adj	ዘዝዋሓደ፣ ዝነኣስ	ያነሰ	
less 	adv	ንእሽተይ፣ ዝነኣስ	ትንሽ ያነሰ	
lessent 	vt	አኣቃሊሉ፣ ቀሊሱ	አቃለለ፣ ቀነሰ	
lesser 	adj	ንእሽተይ፣ ሒደተይ	አነስተኛ	
lesson 	n	ትምህርቲ	ትምህርት	
let 	v	ምፍቃድ	መፍቀድ	
let down 	vt	ሽላ ኢሉ	ችላ አለ	
let have	vt	ኣለቂሁ፣ ሂቡ	አበደረ፣ ሰጠ	
let in 	vt	ኣእትዩ	አስገባ	
let off 	vt	ኣውሪዱ፣ ኣእሪፉ	አወረደ	
let on 	v	ተዛሪቡ፣ ዐውዩ	ተናገረ	
let through 	vt	ኣህሊፉ	አሳለፈ	
let down 	v	ትሕት ኢሉ	ዝቅ ማለት	
letter 	n	ፈፊደል፣ ደብዳበ (ፅሑፍ)	ፊደል፣ ደብዳቤ	
lettuce 	n	ሰላጣ	ሰላጣ	
levee 	n	ሓፅቢ	ግድብ	
level	v	ደልዲሉ	ደለደለ	
level 	adj	ዝተስተኻኽለ	የተስተካከለ	
lewd 	adj	በዓለገ	ባለጌ	
liability 	n	ሓላፊነት ምዝህጋዕ	ሀላፊነት 	
liaison 	n	ሕብረት፣ ርክብ	ህብረት፣ግንኙነት	
liar 	n	ሓሳዊ፣ ፎሽፏሽ	ውሸታም	
libel 	n	ሰስም ምጥፋእ	ሰስም ማጥፋት	
libelous 	adj	ስም ዘጥፍእ	ስም የሚያጠፉ	
liberate 	v	ሓራ/ነፃ ኣውፂኡ	ነፃ አወጣ	
liberty 	n	ናፅነት፣ሓርነት	ነፃነት	
lick 	v	ገሪፉ፣ ልሒሱ	ገረፈ፣ ላሰ	
lie 	n	ሓሰት	ውሸት	
lie	v	ሓሲዩ፣ ተገዲሙ	ዋሸ፣ ተጋደመ	
lieutenant 	n	ምኢቲ ሓለቃ	መተቶ አለቃ	
life 	n	ሂወት፣ ንሮ	ሕይወት	
life blood 	n	ናይ ደምስር	የደም ስር	
life less 	adj	ሕይወት ዘይብሉ	ህይወት የሌለው	
life time 	n	ናይ ሓደ ሰብ ፅድመ	ያንድ ሰው ዕድሜ	
lift 	vi	ለቒቑ፣ ገፊፉ	ለቀቀ፣ ገፈፈ	
lift up 	v	አልዒሉ	አነሳ	
ligh 	lit-v	ኣተሓሒዙ	አያያዘ፣ ለኮሰ	
light 	n	መብራህቲ፣ ብርሃን	ብርሀን	
come to light		ተገኒዩ፣ ተረኺቡ	ተገኘ	
see the light		እቲነገር ተረዲእዎ	ነገሩ ገባው	
shed light		መገግለፂ/መብረሂ ሂቡ	ማብራሪያ ሰጠ	
throw light on		ኣብራህሪሁ	አብራራ	
tighter 	n	መወልዒ ሓዊ	ማቀጣጠያ	
light-footed 	adj	ቅልጡፍ	ቀልጣፋ	
light-headed	adj	ዘይረብሕ፣ ንእሽተይ	የማይረባ	
lighting	n	ብርሃን	ብርሀን	
lightning 	n	መብረቕ	መብረቅ	
lights 	n	ነናይከብቲ ከብዲ ኣቕሓ	የከብት ሆድ ዕቃ	
likable 	adj	ተፈታዊ	የሰው መውድ ያለው	
like 	v	ምምሳል፣ ምፍታው	መምሰል፣ መውደድ	
liken 	vt	መሲሉ	መሰለ	
likeness 	n	ዝማሳሰል፣ ምምስሳል	መመሳሰል	
likewise 	adv	ከምኡውን፣ ከምዙይ	እንደዚሁ	
liking 	n	ምፍታው 	ወደደ	
limb 	n	ጨንፈር	ቅርንጫፍ	
limit 	n	ኣፍታሕቲሑ	አፍታታ	
limit 	n	ልክዕ፣ አቐን	ልክ፣ መጠን	
limited 	adj	ሓፂር ውሱን	አጭር፣ የተወሰነ	
limitless 	adj	ደረት/ ወሰን ዘይብሉ	ወሰን የሌለው	
limp 	adj	ሓንካስ	አንካሳ	
look limp 	vi	በብርዒኑ፣ ፆምሊዩ	ጠወለገ	
line 	n	ቅርፂ፣ ግንባር፣ መስመር	ቅርፅ፣ ግንባር፣ መስመር	
line 	v	ኣስማሩ	አሰመረ	
be lined 		ተጨማዲዱ፣ ተሸምሪሩ	ተጨማደደ	
line up 	vt	አሰሊፉ	አሰለፈ	
all along the lone 		ሙሉዕ ብምሉዕ	ሙሉ በሙሉ	
draw the line		ወሲኑ	ወሰነ	
keep in line		ኣቁሙ	ገታ	
(be) out of line		አይተስማመዐን	አልተስማማም	
lineage 	n	ዘርኢ	ዘር	
linear adscendant 	adj	ብቀጥታ ዝወረደ	በቀጥታ የወረደ	
linear 	adj	ንውሓት	የርዝመት	
linen 	n	ከክዳን ዓራት	የአልጋ ልብስ ሊኖ	
linger 	v	ፀኒሑ	ቀየ	
linger 	v	ኣፅኒሑ	አዘገየ	
linguist 	n	ከኢላ ቋንቋ	የቋንቋ አዋቂ	
link 	v	ኣታሓሒዙ	ተያያዘ	
be linked 		ርክብ አለዎ	ግንኙነት አለው	
link up		ተተሓሓዙ	ተያያዘ	
linseed 	n	እንጣጢእ	ተልባ	
lion 	n	አምበሳ	አንበሳ	
lioness 	n	ኣንስተይቱ አምበሳ	ሴት አንበሳ	
lip 	n	ኽንፈር	ከንፈር	
bite ones's lip		ተዓጊሱ	ታገሠ	
liquefy 	vt	ኣምኪኹ	አቀለጠ	
liquid 	adj	ፈሳሲ	ፈሳሽ	
liquidate 	vt	ደምሲሱ፣ ኽፊሉ	ደመሰሰ፣ ከፈለ	
liquor 	n	መስተ አልኮል	አስካሪ መጠጥ	
list 	vt	ኣመልኪቱ	አመለከተ	
list 	n	ዝርዝር	ዝርዝር	
listen 	v	ኣድሚፁ	አዳመጠ	
literacy 	n	ምፅሓፍን ምንባብን	መጻፍና ማንበብ	
literal		ሓደብሓደ	አንድ በአንድ	
literal	adj	ልክዕ	ልክ	
literally	adv	ቃል ብቓል	ቃል በቃል	
literate 	adj	ዝተማሃረ	የተማረ	
litgation 	n	ተሟጋቲ	ተሟጋች	
litter (vt)		በታቲኑ	ተሟጋች	
litter 	vt	በታቲኑ	በታተነ	
little 	n	ውሑድ፣ ቁሩብ፣ ሐዳተይ	ጥቂት	
little 	adj	ንእሽተይ	ትንሽ	
not a little 		ብጣዕሚ	በጣም	
very little 		ሓደሓደ	አንዳንዴ	
live 	n	ምንባር፣ ምቕማት	ኖረ፣ ተዳደረ	
live out		ሓደ ግዜ ምሕላፍ	አንድ ገዜ ማለፍ	
live through		ሪኡ	አየ	
live 	adj	ነፍስ ዘለዎ	ነብስ ያለው	
livelihood 	n	መተሓዳደሪ	መተዳደሪያ	
lively 	adj	ንቑሕ፣ ድሙቕ	ንቁ፣ ደማቅ	
make lively		አድሚቁ	አደመቀ	
liven 	n	አድሚቑ	አደመቀ	
livestock 	n	አላሕም	ከብቶች	
living room 	n	ክፍሊመመገብን መውግፅን	ሳሎን	
lizard 	n	ፅዕነት	ጭነት	
loaf 	n	ሕብስቲ	ዳቦ	
loager 	n	ሥራሕ ዝፈትሕ	ሥራ ፈት	
loathing 	n	ፅልኢ	ጥላቻ	
lobe 	n	እዝኒ	ጆሮ	
localized 	adj	ብሓደ ቦታዝተወሰነ	በአንድ ቦታ የተወሰነ	
locally 	adv	ከባብያዊ	በአካቢው ብቻ	
location 	n	ምግናይ፣ ኣቀማምጣ	ማግኘት፣ አቀማመጥ	
lock 	v	ቆሊፉ፣ ነኺሱ	የቆለፈ፣ ነክስ	
lock 	n	መሽጎር፣ መሰገጢ	የቁልፍ እናት	
locomotion 	n	ምጎዓዝ	መጓጓዝ	
locomotive 	n	ገጎታቲ ሞተር ዝሓዘ ክፍሊ ባቡር	ባቡር	
locust 	n	ኣምበጣ	አንበጣ	
lodge 	vt	ኣቅሪቡ፣ ኣንቢሩ	አቀረበ፣ አኖረ	
lodge 	vi	ኣቲዩ፣ ቀርዩ	ገብቶ ቀረ	
lodgings 	n	መንበር	መኖሪያ	
lofty 	adj	ብጣዕሚ ብርኽ ዝበለ	በጣም ከፍተኛ	
loin 	n	መዓንጣ	ወገን፣ ሽንጥ	
lone 	adj	በይኑ ደወ ዝበለ	ብቻውን የቆመ	
loneliness 	n	ንበይኑ፣ ንብሕቱ	ብቸኝነት	
be lonesome for 		ናፊቑ	ናፈቀ	
long 	adj	ነዊሕ	ረጅም	
long 	adv	ብዙሕ ግዘ	ብዙ ጊዜ	
all day long 		ሙሉእ መዓልቲ	ቀኑን ሙሉ	
for so long		ንነዊህ ግዘ	ለረጅም ጊዜ	
much longer		ድፍእ ኣቢሉ	ገፋ አድርጎ	
stay longer		ንነዊሕግዘ ዐኒሑ	ቆየ	
longing		ናፍቖት	ናፍቆት	
look 	v	ምርኣይ	መመልከት	
look about for		ደሊዩ	ፈለገ	
look after 	v	ብዓይኑ ተቋሚቱ	በአይኑ ተከተለ	
look ahead		ዝመፅእ ሓሲቡ	መጪውን አሰበ	
look alike		ተለሳሲሉ	ተመሳሰለ	
look around		ዘይሩ ደልዩ	ዞሮ ፈለገ	
look at		መርሚሩ፣ ሪኡ፣ ጠሚቱ	መረመረ፣ አየ	
look down		ንዒወቑ	ናቀ	
look good		ዐቢቑ	አማረ	
look like		መሲሉ	መሰለ	
look up to		ኣኽቢሩ	አከበረ	
loom 	v	ተርእዩ	ታየ	
loose 	v	ላሕሊሑ፣ ዘለቕለቕኢሉ	ላላ አደረገ፣ለቀቀ	
loot 	v	ዘሪፉ	ዘረፈ	
loot 	n	ምሩኽ	ምርኮ	
lop 	v	ምስትኽኻል፣ ምቕርጣፍ	ማስተካከል፣መቀርጥፍ	
loquacious 	adj	ለፍላፊ፣ ዋጣ	ለፍላፊ	
lord 	n	ገጎጥታ	ሹም፣ ጌታ	
our lord 	n	ጎይታና	ጌታችን	
lorry 	n	ናይ ፅዕነት መኪና	የጭነት መኪና	
lose 	lost vt	ተሳዒሩ፣ ስኢኑ፣ ከሲሩ	ተሸነፈ፣ አጣ፣ ከሰረ	
loss 	n	ጥፍኣት	ጥፋት	
lotion 	n	ቅብኢ ንዐጉሪ ወይ  ንገፅ	ቅባት	
loud 	adj	ዓውምባል፣ ብርቱዕ ድምፂ	ጩኸት የበዛበት፣ ጉልህ	
louse 	licen	ቅምል፣ ቁማላት	ቅማል	
love 	n	ፍቕሪ	ፍቅር	
lover 	n	ፍታዊ ወይ ፈታዊት	ወደጅ፣ ፍቅረኛ	
lovingly 	adv	በብፍቕሪ	በፍቅር	
low 	adj	ሕሱር፣ ትሑት	ርካሽ፣ ዝቅተኛ	
low 	adv	ትሕት ኢሉ	ዝቅ ብሎ	
be in low spirits		ሓዚኑ	አዘነ	
get pow		ጎዲሉ	ጎደለ	
lay low		ምስ መሬት ሓዊስዎ	ከመሬት ደባለቀ	
low country		ቆላ	ቆላ	
be lowrerd		ተሰዲዱ፣ ወሪዱ	ተሰደደ፣ ወረደ	
lower oneself		ዐዓርሱ ኣዋሪዱ	ረራሱን ሰረደ	
lower most 	adj & adv	ተሕተዋይ	ከስር በኩል	
low land 	n	ቆላ	ቆላ	
loyal 	adj	ተኣማኒ	ታማኝ	
lucid 	adj	ግልፂ	ግልፅ	
luck 	n	ዕድል	ዕድል	
lunky 	adj	ዕድለኛ	ዕድለኛ	
lucrative 	adj	ከስቢ ዘለዎ	ትርፍ ያለበት	
luggage 	n	ዓብዪ ሳንጣ፣ ባልጀ	ጓዝ	
lukewarm 	adj	ዝሑል	ቀዝቃዛ	
lull 	vt	ኣዐጊስ	አስታገሠ	
lullaby 	n	ሹሩሩ	እሹሩሩ	
lumber jack	n	ጣውላ	ሳጥን	
liminary 	adj	ፈላፂ እንዐይቲ	እንጨት ፈላጭ	
lump 	n	ብርሃን ዝህብ	ብርሀን የሚሰጥ	
luuatic 	adj	ሕብጠት	እብጠት	
lunatic 	adj	ዕቡድ	እብድ	
lunch 	n	ምሳሕ	ምሳ	
lung 	n	ሳባ	ሳምባ	
lure away 	v	ኣፅሺው ወሲዱ	አባብሎ ወሰደ	
lure 	n	በብልሓት፣ መይላ	ዘዴ	
lusicious 	adj	ጡዕም	ጣፋጭ	
lush 	n	ለምለም	ለምለም	
lust after		ተመንዩ፣ተሃንጢዩ	ተመኘ	
luxuriant 	adj	ጥቕጥቕ ዝበለ	ጥቅጥቅ ያለ	
luxury 	n	ራህዋ፣ ቅሳነት	ምቾት፣ ድሎት	
lyre 	n	ክራር	ክራር	
magnificent 	adj	እፁብ ድንቂ	እጹብ ድንቅ	
magnify 	v	አጋኒኑ፣ ኣግዚፎ	አጉሊ መነፅር	
magnifying glass 	n	ዘጉልህ መነፅር	አጉሊ መነፅር	
magnitude 	n	በራኽ፣ ዓቐን	ከፍተኛነት፣ መጠን	
mahogany 	n	ፀሊም ዕንዐይቲ	ጥቁር እንጨት 	
maind 	n	ነናይ ገዛ ሰራሕተኛ	ፈረድ	
maiden 	n	ጓል	ልጃረገድ	
mail 	n	ደብዳቤ	ደብዳቤ	
maim 	v	አካሉ ጎደሎ ጌይሩዎ	አከካለ ጎደሎ አደረገ	
main, water main 	n	ቧምቧ	ቧምቧ	
main 	adj	ኣውራ	ዋና	
main land 	n	ምድሪ	ብስ	
main stay 	n	ዓምዲ	ምሰሶ	
main street 	n	ኣውራ ጎዳና	አውራ (ዋና) ጎዳና	
maize 	n	ምሸላ ባሕሪ፣ ፅፋን፣ ዒልቦ	በቆሎ	
major 	n	ገዚፍ፣ሰፊሕ፣ ብዙሕ	ትልቅ	
make after 	v	አጓይዩ፣ አሳጉጉ	አሳደደ	
make for 	v	ገስጊሱ	ገሠገሠ	
make over 		ለዊጡ	ለወጠ	
make 	n	ዐዓይነት	አይነት	
malady 	n	ሕማም	በሽታ	
malaria 	n	ዓሳ	ወባ	
male 	n	ሰብኣይ፣ ወዲ	ተባዕት	
maledicition 	n	ርግማን	ርግማን	
malvolent 	adj	ርኩስ	እርኩስ	
malformation 	n	ተሰስርኻኺሉ ስለዘይተሰርሐ	ተሰስተካክሎ ያለመስራት	
malice 	n	ተንኮል	ተንኮል	
malnutrition 	n	ኣዚዩ/ብጣዕሚ ሓደገና	በጣም አደገኛ	
malnutrition 	n	ጉድለት ምግቢ	የምግብ ጉድለት	
malt 	n	ቡቑሊ	ብቅል	
maltreat 	v	ኣንገላቲዑ	አንገላታ	
mamma 	n	እነይ፣ አዴይ	እማማ	
man 	n	ሰብ፣ ሰብአይ	ሰው	
man oneself		ሓሞቱ ቋፂሩ	ሀሞቱን ቋጠረ	
manageable 	adj	ዘዝከኣለሉ ግዘ	የሚቻልበት ግዜ	
mandatory 	adj	ጉቡእ፣ መገደዲ	ግዴታ	
mane 	n	ጋማ	ጋማ	
man hood 	n,adj	ስብእነት	ወንድነት	
maniac 	n,adj	አእምሮኡ ዝሰሓተ	አዕምሮውን የሳተ	
manifest itselt itself		ተፈሊጡ	ታወቀ	
manifest 	adj	ግልፂ	ግልፅ	
manifestation 	n	መግለፅ	መግለጫ	
manifesto 	n	መግለፂ	መግልጫ	
manifold 	daj	ዝተፈለያየ	ልዩ ልዩ	
manipulate 	v	ኣዋቂዑ	አምታታ	
mannerism 	n	ፀባይ	ፀባይ	
mannerly 	adj	ጭዋ	ጨዋ	
mannish 	adj	ሰብኣይ ዓይነት	የወንድ	
man power 	n	ናይሰብ ሓይሊ	የሰው ሀይል	
manual	adj	መምርሒ	መምሪያ	
manure 	n	ዓኾር፣ ድኩዒ	ፍግ	
many 	adj	ብዙህ	ብዙ ጊዜ	
mar 	v	ሃዊኹ፣ አበላሺዩ	አወከ፣ አበላሸ	
maraud 	vi	ወሪሩ	ወረረ	
marauder 	n	ወምበዴ፣ ባጋዲሞ	ወንበዴ	
march (v)		ብሰልፊ ኽይዱ ሪጋ ሒይዙ ኸይዱ	በሰልፍ ሄደ	
march up and down		ላዕላይ ታህታይ ኢሉ	ላይና ታች አለ	
march 	n	መጋቢት	መጋቢት	
mark off		ብምልክት ፈሊዩ	በምልክት ለየ	
mark out 		ኣሳሚሩ	አሰመረ	
markedly (adv)		ብጣዕሚ ዝፈለይ	በጣም የሚታወቅ	
marker	n	ምልኽት መግበሪ	ምልክት ማድረጉያ	
market 	n	ዕዳጋ	ገበያ	
market 	vt	ሸጥጡ/ዓዲጉ	ሸጠ/ገዛ	
(be) marketable 	adj	ገዛኢ ኣግን/ ረኺቡ	ገዢ አገኘ	
market place 	n	ዕዳጋ ቦታ	ገበያ ቦታ	
marquee 	n	ዓብይ ድንኳን	ትልቅ ድንኳን	
marriageable 	adj	ንሓዳር ዝበፅሐ	ለትዳር የደረሰ	
married 	adj	ዝተመርዐወ፣ ዝእተወ	የተዳረ፣ ያገባ	
marrow 	n	ቅልፅም	ቅልጣም	
marsh 	n	ረግረግ	ረግረግ	
marshal 	v	መሪሑ 	መራ	
marshy 	adj	ረግረግ	ረግረግ	
maritaal law 	n	ሕጊ ወታሃደር	ወታደራዊ ህግ	
martyrize 	v	አሳቕዩ	አሰቃየ	
marvel 	n	ታኣምር፣ ምሳሌ	ተአምር፣ ምሳሌ	
marvel 	n	ተደኒቑ	ተደናቂ	
marvelous 	adj	ፅቢቕ ሩህሩህ	ግሩም	
mask 	v	ሸፊኑ	ግንበና	
mason 	n	ነዳቒ	ሸፈነ	
masonry 	n	ስራሕ መንደቕ	ግንበኛ	
mass 	vt	በሓደ አኪቡ	በአንድነት ሰብሰብ	
mass 	n	ቅዳሴ	ቅዳሴ	
massige 	v	ሓሲዩ፣ደሪዙ	አሸ	
massive 	adj	ብዙሕ ግዘ	ብዙ	
master 	n	መምህር፣ ጎይታ፣ ሓለቓ	መምህር፣ ጌታ	
master 	adj	ኣውራ	ዋና	
masticate 	v	ሓይኹ፣ ሓኺዩ	አፕከ	
mat 	n	ሰሌን	ሰሌን	
mat 	v	በታቲኑ	በታተነ	
nate 	n	ዓርኪ፣ መሓዛ	ጓደኛ	
materially 	adv	ብሃብቲ፣ ብጣዕሚ	በሀብት፣ በጣም	
maternity (n)		ወላድ ምኳን	ወላድ መሆን	
mathematics 	n	ሒሳብ	ሒሳብ	
matteress 	n	ፍራሽ	ፍራሽ	
maxim 	n	ምሳሌ	ምሳሌ	
May 	n	ግንቦት	ግንቦት	
may be 	v	ማናልባሽ፣ ኮነይመነይ	ማናልባት	
me 	pron	ነኣይ፣ አነ	ለኔ፣ እኔን	
meadow 	n	ሰውሒ	መስክ	
meal 	n	ምግቢ	ምግብ	
mean time 	adv	ሽዑ፣ አሻዒቱ	እስከዚያ ድረስ፣ በመሀሉ	
mean wime 	adv	በዚ ግዘ	በዚህ ጊዜ	
measly 	adj	ንኡሽቴ	አነስተኛ	
measure 	vt	ለኪዑ፣ ሰፈር	ለካ፣ ሰፈር	
measure off		ኽፋፊሉ	ከፋፈለ	
measured 	adj	ዝተወሰነ	የተወሰነ	
meddle 	v	ጣልቃ ምእታው	ጣልቃ መግባት	
media	n	መራኽቢ ብዙሃን	የመገናኛ ዘዴ	
medicament 	n	መድሓኒት	መድኃኒት	
medicate 	vt	ጣሲሙ፣ ቀቢኡ	ቀባ	
medication 	n	መድሓኒት	መድኃኒት	
medicatine 	n	ሕክምና፣ መድሓነት	ህክምና፣መድሀኒት	
meditate 	v	ሓሰሲቡ፣ ዘውፂኡ ኣውሪዱ	አሰበ፣ አወጣ አወረደ	
medium 	n	ብልሓት፣ መይላ	ዘዴ	
mdium 	adj	ማዕኽላይ	መካከለኛ	
meeting 	n	አኽባ፣ ዋዕለ	ስብሰባ	
melancholy 	n	ሓዘንን፣ ትካዘ	ሀዘንና ትካዜ	
melt 	vt	ኣሕቒቑ	አሟሟ	
melt 	vi	ቀሊጡ፣ ሓቒቑ	ቀለጠ	
memorabilia 	n	ትዝታ	ትዝታ	
memorable 	adj	ዘይረርሳዕ	የማይረሳ	
memorandum 	n	መዘከርታ	ማስታወሻ	
memory 	n	ትዝታ	ትዝታ	
mend 	v	ፀጊኑ	ጠገነ	
mendicant 	adj	ለማኒ	ለማኝ	
mendacity 	n	ምልማን	መለመን	
menial 	adj	ንኢሸቴ	ዝቅተኛ	
merchant 	n	ነጋዲ	ነጋዴ	
mercy 	n	ምሕረት	ምህረት	
mer 	adj & adv	ንበይኑ	ብቻ	
merit 	n	ክእለት፣ ፅቡቕ ስራሕ	ችሎታ፣ መልካም ስራ	
merry 	adj	ሕጉስ	ደስተኛ	
mess up		ዘባሪቁ፣ ሓዋዊሱ	አዘባረቀ	
message 	n	መልእኽቲ	መልእክት	
messy 	adj	ዝተበላሸወ	የተበላሸ	
microphone 	n	መዋለዲ	አዋላጅ	
might 	n	ሓይሊ	ሀይል	
mightliy 	adv	ብጣዕሚ	በጣም	
migraine 	n	ሓያል ርዕሲ ፍልፀት	ሀይለኛ የራስ ምታት	
migrate 	v	ተጓዒዙ፣ ኸይዱ	ተጓዘ፣ ፈለሰ	
military 	n	ጦር ሰራዊት	ሰራዊት	
militia 	n	ህዝባዊ ሰራዊት	ህዝባዊ ሰራዊት	
milk 	n	ዐባ	ወተት	
mill 	v	ጥሒኑ	ፈጨ	
millet 	n	ምሸላ	ማሽላ	
mince 	v	ኽቲፉ	ከተፈ	
mind 	n	ሓሳብ፣ አእምሮ	ሐሳብ፣ አዕምሮ	
mind now!		ልብ ግበር	ልበ አድርግ	
mind ful of 	adj	ብምስማዕ	በመስማት	
mindless	adj	ገግዲዘይብሉ	ግድየለሽ	
mine 	n	ማእድን፣ ፈንጂ፣ ነታጉ	ማዕድን፣ ፈንጂ	
mine 	v	ናየይ፣ ናቴ	የኔ	
miner 	n	ኳዓቲ ማእድን	ማዕድን ቆፋሪ	
mineral 	n	ማእድን 	ማዕድን	
minimize 	v	አቃሊሉ፣ ቀነሰ	አቃለለ፣ ቀነሰ	
minstrel 	n	ወዋጣ	አዝማሪ	
minute 	n	ደቒቓ	ደቂቃ	
minutely 	adj,adv	ሓደብሓደ	በዝርዝር	
mire 	vt	ኣብጭቃ አቲ፣ ጀቕጀቕ ኣቲዩ	አባ ማጥ ውስት ገባ	
mirror 	n	መስቲያት	መስታወት	
mirror 	v	ቀቁልጭ አቢሉ ኣርእዩ	ቁልጭ አድርጎ አሳየ	
mirth 	n	ሳሓቕ	ሣቅ	
misadventure 	n	ሕማቕ ነገር	መጥፎ ነገር	
misapprehenision 	n	ከይተረድኦ ምቕራይ	ሳይገባው መቅረት	
misbehave 	v	ባዕሊጉ	ባለገ	
miscarry 	v	ተጨናጊፉ	ተጨናገፈ	
mishief 	n	ገጉድኣት፣ ተንኮል	ጉዳት ፣ተንኮል	
misconception 	n	ብዘይምፍላጥ	አለማወቅ	
miser 	n	ሱሱዕ	ንፉግ	
misfire 	vi	ኽሺፈ	ከሸፈ	
misgivings 	n	ጥርጣሬ	ጠጥርጣሬ	
mispa 	a	ጥፍኣት፣ ሓደጋ	ጥፋት፣ አደጋ	
misleeading 	adj	መሳሓሓቲ	አሳሳች	
misplace 	v	አብዘይቦትሉ ምግባር	ያለቦታው መኖር	
misread 	vt	ዛይተረድኦት ምግባር	ያለቦታው ማኖር	
misread 	vt	አይተረድኦን፣ አንከንብብ ተሳሓሒቱ	አለልገባውም፣ ሲያነብ ተሳሳተ	
misunderstand 	v	ብግቡእ ኤተረድኦን	በደንብ አልተረዳም	
mix (one) up		ጥልቕ ኢሉ	ጥልቅ አለ	
moan 	v	ተጨኒቑ	አቃሰተ	
mobile 	adj	ተዘዋዋሪ	ተዘዋዋሪ	
mode 	n	ብልሓት፣ መይላ	ዘዴ	
model 	n	ዐዓይነት	አይነት	
moderate 	n	ማዕኸላይ	መካከለኛ	
moderator 	n	ምምይይጥ መታሒ	የወውይይት መሪ	
modest 	adj	ንእሸተይ	መጠነኛ	
modify 	n	አማሓይሹ፣ አሻሺሉ	አሻሻለ	
moist 	adj	ርሑስ	እርጥብ	
modly 	adj	ሻሕጊቱ	ሻገተ	
monastery 	n	ገዳም	ገደም	
Monday 	n	ሰኑይ	ሰኞ	
money 	n	ሰልዲ	ገንዘብ	
monitor 	n	ከክፍሊ ሓለቃ	የክፍል አለቃ	
monk (n)		ፈላሲ	መነኩሴ	
monkey 	n	ህበይ	ዘዝንጀሮ	
monologue 	n	ንበይንኻ ምዝራብ	ለብቻ መናገር	
monster 	n	ኣረመኔ	አረመኔ	
monstrous 	adj	በብጣዕሚ ዝስቅቕ	በጣም አሰቃቂ	
month 	n	ወርሒ	ወር	
monly 	n	በብወርሑ፣ ዝወፅእ ጋዜጣ	በጠወሩ የሚወታ ጋዜጣ	
monumental 	adj	ዓቢይ ገዚፍ	ታላቅ	
moon 	n	ወርሒ	ጨረቃ	
mop 	v	ዐሪጉ፣ ወልዊሉ	ጠረገ፣ ወለወለ	
more 	adj	ተወሳኺ	ተጨማሪ	
more than once		ካብ ሓደ ግዘ ንላዕሊ	ካንዴም ሁለቴ	
moreover (adj)		ብተወሳኺ እውን	ካንዴም በላይ	
morening 	n	ነንጉሆ	ጠዋት	
mortally 	adv	ካብልቢ	ከልብ	
mortage 	v	ኣትሒዙ	አስያዘ	
mortify 	v	ኣጎሳቑሉ	አጎሳቆለ	
mosquito 	n	ጣንጡ	የወባ ትንኝ	
most 	adj	ዘበልፅ	የመሚበልጥ	
most every body		ብዘዙሓት፣ መብዛሕቶም	አብዛኞቹ	
mother 	v	እነኖ፣ አዶ	እናት	
mother-inlaw	n	ሓማት	አማት	
motherly 	adj	ናይ  እኖ	የእናት	
motley 	adj	ነንበይኑ፣ ዥጉርጉር	ልዩልዩ፣ ዝጉርጉር	
motto 	n	መምርሒ	መመሪያ	
mound 	n	ቁሉል	ቁልል	
mountain 	n	ኾረብታ፣ እምባ	ተራራ	
mountain goat 	n	ጠሊ ድጊዓ	የሜዳ ፍየል	
mouse	n	እንጭዋ	አይት	
moustache	n	ፀፅሕሚ፣ ዕሕሚ	ሪዝ	
mouth 	n	መእተዊ፣ አፍ	መግቢያ፣ አፍ	
movable 	adj	ተንቀሳቓሺ	ተንቀሳቃሽ	
move closer 		ፅግእ አቢሊ፣ አፀጊዑ	ተዘዋወረ	
move into		ደኣትዩ	ገባ	
move alittle 		ስሕብ አቢሉ	ሳብ አደረገ	
move on 		ከይዳ፣ ሓሊፉ	ሄደ፣ አለፈ	
mow 	v	ዓፂዱ	አጨደ	
Mr 	n	ኣይተ 	አቶ	
Mrs 	n	ዌዘሮ	ወይዘሮ	
mucus 	n	ንፋጥ፣ ፅንጓር	ንፍጥ	
mud 	n	ጭቃ	ጭቃ	
muffle 	v	ዓፊኑ፣ ሸፈኑ	አለፈ፣ ሸፈነ	
mule 	n	በቅሊ	በቅሎ	
mundane 	adj	ናየይ ዚዓለም	የዚህ አለም	
munificent 	adj	ዓብይ ድንኳን	ታላቅ	
murder 	v	ቀቲሉ	ገደለ	
murky 	adj	ፀልማት ዝኾነ	ጨለማ የሆነ	
mushroom 	n	እንጉዳይ፣ ቅንጥሻራ	እንጉዳ	
mushroom 	v	በቑይሉ፣ ውጥም ውጥም ኢሉ	ብቅ ብቅ አለ	
muster 	v	ኣኪቡ	ሰበሰበ	
